Poll,Date,Sample,MoE,Nelson (D),Scott (R),Spread
Final Results,--,--,--,49.9,50.1,Scott +0.2
RCP Average,10/29 - 11/5,--,--,48.8,46.4,Nelson +2.4
Trafalgar Group (R)Trafalgar,11/4 - 11/5,1484 LV,2.5,47,49,Scott +2
St. Pete PollsSt. Pete Polls,11/3 - 11/4,3088 LV,1.8,50,46,Nelson +4
EmersonEmerson,11/1 - 11/3,748 LV,3.7,50,45,Nelson +5
HarrisXHarrisX,10/29 - 11/4,1400 LV,2.6,46,48,Scott +2
QuinnipiacQuinnipiac,10/29 - 11/4,1142 LV,3.5,51,44,Nelson +7
HarrisXHarrisX,10/28 - 11/3,1400 LV,2.6,45,48,Scott +3
St. Pete PollsSt. Pete Polls,11/1 - 11/2,2733 LV,2.0,48,49,Scott +1
GravisGravis,10/29 - 11/2,753 LV,3.6,50,47,Nelson +3
NBC News/MaristNBC/Marist,10/30 - 11/1,595 LV,5.0,50,46,Nelson +4
St. Pete PollsSt. Pete Polls,10/30 - 10/31,2470 LV,2.0,49,47,Nelson +2
Trafalgar Group (R)Trafalgar,10/29 - 10/30,2543 LV,1.9,49,47,Nelson +2
USA Today/SuffolkUSA Today,10/25 - 10/28,500 LV,4.4,45,43,Nelson +2
CNNCNN,10/24 - 10/29,781 LV,4.3,49,47,Nelson +2
NY Times/SienaNY Times/Siena,10/23 - 10/27,737 LV,4.0,48,44,Nelson +4
CBS News/YouGovCBS/YouGov,10/23 - 10/26,991 LV,4.0,46,46,Tie
UNFUNF,10/23 - 10/26,1045 LV,3.0,47,46,Nelson +1
GravisGravis,10/22 - 10/23,773 LV,3.5,49,45,Nelson +4
St. Pete PollsSt. Pete Polls,10/20 - 10/21,1575 LV,2.5,48,49,Scott +1
WCTV-TVWCTV-TV,10/16 - 10/23,800 LV,3.5,46,45,Nelson +1
Florida Atlantic UniversityFAU,10/18 - 10/21,740 LV,3.6,41,42,Scott +1
Bay News 9/SurveyUSABay News 9/SurveyUSA,10/18 - 10/21,665 LV,5.0,49,41,Nelson +8
QuinnipiacQuinnipiac,10/17 - 10/21,1161 LV,3.5,52,46,Nelson +6
CNNCNN,10/16 - 10/20,759 LV,4.2,50,45,Nelson +5
St. Pete PollsSt. Pete Polls,10/15 - 10/16,1974 LV,2.2,47,49,Scott +2
St. Pete PollsSt. Pete Polls,9/29 - 9/30,2313 LV,2.0,47,47,Tie
WCTV-TVWCTV-TV,9/17 - 9/30,800 LV,3.5,45,44,Nelson +1
Mason-DixonMason-Dixon,9/24 - 9/27,815 LV,3.5,47,46,Nelson +1
QuinnipiacQuinnipiac,9/20 - 9/24,888 LV,4.0,53,46,Nelson +7
UNFUNF,9/17 - 9/19,603 LV,4.0,45,45,Tie
NBC News/MaristNBC/Marist,9/16 - 9/20,600 LV,4.7,48,45,Nelson +3
Florida Atlantic UniversityFAU,9/13 - 9/16,850 LV,3.3,41,42,Scott +1
Rasmussen ReportsRasmussen,9/10 - 9/11,800 LV,3.5,45,44,Nelson +1
SurveyUSASUSA,9/7 - 9/9,634 LV,5.3,44,46,Scott +2
QuinnipiacQuinnipiac,8/30 - 9/3,785 LV,4.3,49,49,Tie
GravisGravis,8/29 - 8/30,1225 LV,2.8,47,47,Tie
St. Pete PollsSt. Pete Polls,8/29 - 8/30,1755 LV,2.3,47,47,Tie
Florida Atlantic UniversityFAU,8/16 - 8/20,800 RV,3.4,39,45,Scott +6
Mason-DixonMason-Dixon,7/24 - 7/25,625 LV,4.0,44,47,Scott +3
Florida Atlantic UniversityFAU,7/20 - 7/21,800 RV,3.4,40,44,Scott +4
GravisGravis,7/13 - 7/14,1840 LV,2.3,47,43,Nelson +4
CBS News/YouGovCBS/YouGov,6/19 - 6/22,839 LV,--,41,46,Scott +5
NBC News/MaristNBC/Marist,6/17 - 6/21,947 RV,3.9,49,45,Nelson +4
FL ChamberFL CoC,5/25 - 6/4,605 LV,4.0,45,48,Scott +3
Florida Atlantic UniversityFAU,5/4 - 5/7,1000 RV,3.0,40,44,Scott +4
GravisGravis,2/26 - 3/19,2212 LV,2.1,44,40,Nelson +4
QuinnipiacQuinnipiac,2/23 - 2/26,1156 RV,3.6,46,42,Nelson +4
GravisGravis,2/1 - 2/18,1978 RV,2.2,44,40,Nelson +4
UNFUNF,1/29 - 2/4,429 LV,4.7,48,42,Nelson +6
Mason-DixonMason-Dixon,1/30 - 2/1,625 RV,4.0,45,44,Nelson +1
Mason-DixonMason-Dixon,10/17 - 10/19,625 LV,4.0,44,44,Tie
UNFUNF,10/11 - 10/17,706 LV,3.4,37,36,Nelson +1
FL ChamberFL CoC,9/17 - 9/24,615 LV,--,45,47,Scott +2
Florida Atlantic UniversityFAU,8/24 - 8/26,800 LV,4.0,42,40,Nelson +2
GravisGravis,4/4 - 4/10,1243 RV,2.8,56,28,Nelson +28
