Poll,Date,Sample,MoE,Tester (D),Rosendale (R),Spread
Final Results,--,--,--,50.1,47.0,Tester +3.1
RCP Average,10/24 - 11/5,--,--,49.0,45.7,Tester +3.3
Trafalgar Group (R)Trafalgar,11/2 - 11/5,953 LV,3.2,50,49,Tester +1
HarrisXHarrisX,10/29 - 11/4,1400 LV,3.7,49,43,Tester +6
HarrisXHarrisX,10/28 - 11/3,1400 LV,3.7,50,42,Tester +8
GravisGravis,10/24 - 10/26,782 LV,3.5,48,45,Tester +3
MSU-Billings*MSU-Billings*,10/8 - 10/13,471 LV,--,47,38,Tester +9
MTN-MSU*MTN-MSU*,9/15 - 10/6,2079 RV,2.2,46,43,Tester +3
GravisGravis,9/19 - 9/22,710 LV,3.7,49,45,Tester +4
CBS News/YouGovCBS/YouGov,9/10 - 9/14,453 LV,--,47,45,Tester +2
Remington Research (R)Remington (R),7/8 - 7/10,2581 LV,2.0,49,46,Tester +3
GravisGravis,6/11 - 6/13,469 LV,4.5,52,44,Tester +8
