Poll,Date,Sample,MoE,Casey (D),Barletta (R),Spread
Final Results,--,--,--,55.6,42.7,Casey +12.9
RCP Average,9/12 - 11/1,--,--,52.0,37.7,Casey +14.3
Morning CallMorning Call,10/28 - 11/1,421 LV,5.5,54,40,Casey +14
Franklin & Marshall*F&M*,10/22 - 10/28,214 LV,9.5,50,35,Casey +15
Franklin & Marshall*F&M*,9/17 - 9/23,204 LV,--,50,33,Casey +17
Morning Call*Morning Call*,9/13 - 9/19,404 LV,5.5,53,35,Casey +18
Rasmussen ReportsRasmussen,9/12 - 9/13,800 LV,3.5,52,38,Casey +14
Franklin & Marshall*F&M*,8/20 - 8/26,222 LV,6.9,47,34,Casey +13
NBC News/MaristNBC/Marist,8/12 - 8/16,713 RV,4.2,53,38,Casey +15
SuffolkSuffolk,6/21 - 6/25,500 LV,4.4,47,32,Casey +15
Franklin & MarshallF&M,6/4 - 6/10,472 RV,6.5,44,27,Casey +17
Morning CallMorning Call,4/4 - 4/12,414 RV,5.5,48,32,Casey +16
Franklin & MarshallF&M,3/19 - 3/26,423 RV,6.8,43,25,Casey +18
