Poll,Date,Sample,MoE,Cruz (R),O'Rourke (D),Spread
Final Results,--,--,--,50.9,48.3,Cruz +2.6
RCP Average,10/22 - 11/5,--,--,51.3,44.5,Cruz +6.8
Trafalgar Group (R)Trafalgar,11/3 - 11/5,2135 LV,2.1,52,43,Cruz +9
Emerson*Emerson*,10/28 - 10/30,781 LV,3.7,50,47,Cruz +3
CBS 11/Dixie StrategiesDixie Strategies,10/25 - 10/26,588 LV,4.0,52,42,Cruz +10
QuinnipiacQuinnipiac,10/22 - 10/28,1078 LV,3.5,51,46,Cruz +5
UT/Texas Tribune*UT/Texas Tribune*,10/15 - 10/21,927 LV,3.2,51,45,Cruz +6
CNNCNN,10/9 - 10/13,716 LV,4.5,52,45,Cruz +7
NY Times/SienaNY Times/Siena,10/8 - 10/11,800 LV,3.6,51,43,Cruz +8
QuinnipiacQuinnipiac,10/3 - 10/9,730 LV,4.4,54,45,Cruz +9
CBS News/YouGovCBS/YouGov,10/2 - 10/5,881 LV,--,50,44,Cruz +6
Emerson*Emerson*,10/1 - 10/5,500 LV,4.5,47,42,Cruz +5
QuinnipiacQuinnipiac,9/11 - 9/17,807 LV,4.1,54,45,Cruz +9
CBS 11/Dixie StrategiesDixie Strategies,9/6 - 9/7,519 LV,4.3,46,42,Cruz +4
EmersonEmerson,8/22 - 8/25,550 RV,4.4,39,38,Cruz +1
NBC News/MaristNBC/Marist,8/12 - 8/16,759 RV,3.8,49,45,Cruz +4
QuinnipiacQuinnipiac,7/26 - 7/31,1138 RV,3.5,49,43,Cruz +6
Texas Lyceum*Texas Lyceum*,7/9 - 7/26,441 LV,4.7,41,39,Cruz +2
GravisGravis,7/3 - 7/7,602 LV,4.0,51,42,Cruz +9
CBS News/YouGovCBS/YouGov,6/19 - 6/22,821 LV,--,50,40,Cruz +10
UT/Texas Tribune*UT/Texas Tribune*,6/8 - 6/17,1200 RV,2.8,41,36,Cruz +5
QuinnipiacQuinnipiac,5/23 - 5/29,961 RV,3.8,50,39,Cruz +11
JMC AnalyticsJMC Analytics,5/19 - 5/21,575 LV,4.1,47,40,Cruz +7
QuinnipiacQuinnipiac,4/12 - 4/17,1029 RV,3.6,47,44,Cruz +3
